Cambustion / University of Alberta,Tandem,v0.2,4/3/2024,14:41:17,Bypass scans:,FALSE,,
Classifier 1,Data points,Data length,Serial number,Sample flow (lpm),Resolution,Start (fg),End (fg),Per decade
CPMA,5,5,C813,0.3,2,0.05,500,1
Classifier 2,Data points,Data length,Sample flow (lpm),Sheath flow SP (lpm),Error status,Start (nm),End (nm),
3082 DMA,113,4,0.3,2.1,"0
",17.5,,
CPC,,,,,,,,
Dummy,,,,,,,,
Mp (fg),Speed (rad/s),Voltage (V),Pressure (Pa),Temperature (C),Dm (nm)2,Temperature (C)2,Pressure (kPa)2,Conc 
0.05,278.3759783,1.455108696,93576.15217,28.5576087,21.7,25,93.58043478,0
0.05,278.3759783,1.455108696,93576.15217,28.5576087,22.5,25,93.58043478,0
0.05,278.3759783,1.455108696,93576.15217,28.5576087,23.3,25,93.58043478,0
0.05,278.3759783,1.455108696,93576.15217,28.5576087,24.1,25,93.58043478,0
0.05,278.3759783,1.455108696,93576.15217,28.5576087,25,25,93.58043478,0
0.05,278.3759783,1.455108696,93576.15217,28.5576087,25.9,25,93.58043478,0
0.05,278.3759783,1.455108696,93576.15217,28.5576087,26.9,25,93.58043478,0
0.05,278.3759783,1.455108696,93576.15217,28.5576087,27.9,25,93.58043478,0
0.05,278.3759783,1.455108696,93576.15217,28.5576087,28.9,25,93.58043478,0
0.05,278.3759783,1.455108696,93576.15217,28.5576087,30,25,93.58043478,0
0.05,278.3759783,1.455108696,93576.15217,28.5576087,31.1,25,93.58043478,0
0.05,278.3759783,1.455108696,93576.15217,28.5576087,32.2,25,93.58043478,0
0.05,278.3759783,1.455108696,93576.15217,28.5576087,33.4,25,93.58043478,0
0.05,278.3759783,1.455108696,93576.15217,28.5576087,34.6,25,93.58043478,0
0.05,278.3759783,1.455108696,93576.15217,28.5576087,35.9,25,93.58043478,0
0.05,278.3759783,1.455108696,93576.15217,28.5576087,37.2,25,93.58043478,1.9
0.05,278.3759783,1.455108696,93576.15217,28.5576087,38.5,25,93.58043478,9.67
0.05,278.3759783,1.455108696,93576.15217,28.5576087,40,25,93.58043478,22.1
0.05,278.3759783,1.455108696,93576.15217,28.5576087,41.4,25,93.58043478,48.3
0.05,278.3759783,1.455108696,93576.15217,28.5576087,42.9,25,93.58043478,84
0.05,278.3759783,1.455108696,93576.15217,28.5576087,44.5,25,93.58043478,133
0.05,278.3759783,1.455108696,93576.15217,28.5576087,46.1,25,93.58043478,197
0.05,278.3759783,1.455108696,93576.15217,28.5576087,47.8,25,93.58043478,272
0.05,278.3759783,1.455108696,93576.15217,28.5576087,49.6,25,93.58043478,322
0.05,278.3759783,1.455108696,93576.15217,28.5576087,51.4,25,93.58043478,301
0.05,278.3759783,1.455108696,93576.15217,28.5576087,53.3,25,93.58043478,220
0.05,278.3759783,1.455108696,93576.15217,28.5576087,55.2,25,93.58043478,134
0.05,278.3759783,1.455108696,93576.15217,28.5576087,57.3,25,93.58043478,56.8
0.05,278.3759783,1.455108696,93576.15217,28.5576087,59.4,25,93.58043478,19.2
0.05,278.3759783,1.455108696,93576.15217,28.5576087,61.5,25,93.58043478,5.69
0.05,278.3759783,1.455108696,93576.15217,28.5576087,63.8,25,93.58043478,0.714
0.05,278.3759783,1.455108696,93576.15217,28.5576087,66.1,25,93.58043478,0
0.5,175.5734783,5.819673913,93488.83696,29.34891304,40,25.00271739,93.57119565,0.194
0.5,175.5734783,5.819673913,93488.83696,29.34891304,41.4,25.00271739,93.57119565,0
0.5,175.5734783,5.819673913,93488.83696,29.34891304,42.9,25.00271739,93.57119565,0.194
0.5,175.5734783,5.819673913,93488.83696,29.34891304,44.5,25.00271739,93.57119565,0
0.5,175.5734783,5.819673913,93488.83696,29.34891304,46.1,25.00271739,93.57119565,0
0.5,175.5734783,5.819673913,93488.83696,29.34891304,47.8,25.00271739,93.57119565,0.196
0.5,175.5734783,5.819673913,93488.83696,29.34891304,49.6,25.00271739,93.57119565,0
0.5,175.5734783,5.819673913,93488.83696,29.34891304,51.4,25.00271739,93.57119565,0
0.5,175.5734783,5.819673913,93488.83696,29.34891304,53.3,25.00271739,93.57119565,0
0.5,175.5734783,5.819673913,93488.83696,29.34891304,55.2,25.00271739,93.57119565,0
0.5,175.5734783,5.819673913,93488.83696,29.34891304,57.3,25.00271739,93.57119565,0
0.5,175.5734783,5.819673913,93488.83696,29.34891304,59.4,25.00271739,93.57119565,0
0.5,175.5734783,5.819673913,93488.83696,29.34891304,61.5,25.00271739,93.57119565,0
0.5,175.5734783,5.819673913,93488.83696,29.34891304,63.8,25.00271739,93.57119565,0.799
0.5,175.5734783,5.819673913,93488.83696,29.34891304,66.1,25.00271739,93.57119565,2.61
0.5,175.5734783,5.819673913,93488.83696,29.34891304,68.5,25.00271739,93.57119565,9.45
0.5,175.5734783,5.819673913,93488.83696,29.34891304,71,25.00271739,93.57119565,29
0.5,175.5734783,5.819673913,93488.83696,29.34891304,73.7,25.00271739,93.57119565,89.5
0.5,175.5734783,5.819673913,93488.83696,29.34891304,76.4,25.00271739,93.57119565,199
0.5,175.5734783,5.819673913,93488.83696,29.34891304,79.1,25.00271739,93.57119565,376
0.5,175.5734783,5.819673913,93488.83696,29.34891304,82,25.00271739,93.57119565,707
0.5,175.5734783,5.819673913,93488.83696,29.34891304,85.1,25.00271739,93.57119565,1.15E+03
0.5,175.5734783,5.819673913,93488.83696,29.34891304,88.2,25.00271739,93.57119565,1.44E+03
0.5,175.5734783,5.819673913,93488.83696,29.34891304,91.4,25.00271739,93.57119565,1.44E+03
0.5,175.5734783,5.819673913,93488.83696,29.34891304,94.7,25.00271739,93.57119565,1.69E+03
0.5,175.5734783,5.819673913,93488.83696,29.34891304,98.2,25.00271739,93.57119565,2.49E+03
